step,time,control,f1_palm,f2_palm,f1_tip,f2_tip,t1_length,t2_length,palm_diff,tip_diff,tendon_diff,contacts
330,0.33,1.0,-94.2426090165396,-93.34219909050168,-0.004781024564282646,-0.015495867275780992,0.16296562816456062,0.1629480716518531,0.9004099260379235,0.010714842711498345,1.7556512707517236e-05,0
340,0.34,1.0,-94.24162263960847,-93.34128889113164,-0.004013510620750045,-0.013805517447033682,0.1629656093537957,0.1629480521968109,0.9003337484768252,0.009792006826283638,1.755715698478766e-05,0
350,0.35000000000000003,1.0,-94.24094380803572,-93.34066234190423,-0.0033710821346471555,-0.012301849803357036,0.16296559642192635,0.1629480388271669,0.9002814661314886,0.00893076766870988,1.7557594759437523e-05,0
360,0.36,1.0,-94.24046915079781,-93.34022269929591,-0.002832770807815848,-0.010963527042348086,0.16296558739644706,0.16294802947098308,0.9002464515019,0.008130756234532237,1.7557925463984603e-05,0
370,0.37,1.0,-94.24012920625516,-93.33990537040992,-0.00238128830327468,-0.009771837234876504,0.16296558094995392,0.16294802274126358,0.9002238358452388,0.007390548931601824,1.7558208690343635e-05,0
380,0.38,1.0,-94.23987789467895,-93.33966820002973,-0.0020023360835339,-0.008710343187003625,0.1629655762004519,0.16294801773106282,0.9002096946492202,0.006708007103469725,1.7558469389084008e-05,0
390,0.39,1.0,-94.23968513012898,-93.33948413016653,-0.0016840562936546928,-0.0077645718347315795,0.16296557257101907,0.16294801385758928,0.9002009999624505,0.006080515541076886,1.755871342978832e-05,0
400,0.4,1.0,-94.23953161997346,-93.33933596938678,-0.0014165931023642105,-0.0069217458670076445,0.1629655696910106,0.16294801075042264,0.9001956505866815,0.005505152764643434,1.7558940587941718e-05,0
410,0.41000000000000003,1.0,-94.23940519836056,-93.33921285134105,-0.0011917386275113269,-0.006170557224968476,0.16296556732634965,0.16294800817547386,0.9001923470195123,0.004978818597457149,1.7559150875784413e-05,0
420,0.42,1.0,-94.23929827349444,-93.33910791889545,-0.0010026446954558613,-0.005500978041372937,0.16296556533088158,0.16294800598512627,0.9001903545989904,0.004498333345917076,1.7559345755313593e-05,0
430,0.43,1.0,-94.2392061005592,-93.33901683350847,-0.0008435873215439326,-0.004904102363048288,0.16296556361334336,0.16294800408611915,0.9001892670507345,0.004060515041504355,1.755952722420906e-05,0
440,0.44,1.0,-94.23912565795887,-93.33893681816859,-0.0007097741821419067,-0.004372012063776775,0.16296556211577995,0.16294800241893007,0.9001888397902746,0.0036622378816348685,1.7559696849883677e-05,0
450,0.45,1.0,-94.2390549457436,-93.3388660439334,-0.0005971872037657441,-0.0038976616894048147,0.1629655608000148,0.16294800094455497,0.9001889018102105,0.0033004744856390705,1.7559855459842177e-05,0
460,0.46,1.0,-94.2389925633331,-93.33880324205565,-0.0005024536144709302,-0.003474778501109427,0.16296555963948012,0.16294799963613377,0.9001893212774519,0.0029723248866384967,1.7560003346350772e-05,0
470,0.47000000000000003,1.0,-94.23893746224041,-93.33874746653927,-0.00042273988676653015,-0.0030977751315894495,0.16296555861442147,0.16294799847380553,0.9001899957011403,0.0026750352448229194,1.756014061593536e-05,0
480,0.48,1.0,-94.23888880401948,-93.33869795594647,-0.00035566406227062025,-0.0027616729598405215,0.16296555770913881,0.16294799744169886,0.9001908480730094,0.002406008897569901,1.7560267439958865e-05,0
490,0.49,1.0,-94.23884588008536,-93.3386540580037,-0.00029922291691018355,-0.00246203469017106,0.16296555691042666,0.16294799652628084,0.9001918220816663,0.0021628117732608765,1.7560384145826058e-05,0
500,0.5,1.0,-94.23880806765784,-93.33861519137595,-0.0002517312212605466,-0.0021949048583349475,0.16296555620671363,0.1629479957155156,0.900192876281892,0.001943173637074401,1.7560491198026495e-05,0
510,0.51,1.0,-94.23877480663062,-93.3385808276726,-0.00021177095244893565,-0.0019567571796679914,0.16296555558760906,0.16294799499846735,0.9001939789580149,0.0017449862272190557,1.756058914170744e-05,0
520,0.52,1.0,-94.23874558817899,-93.33855048345839,-0.00017814875216319242,-0.0017444478297913462,0.16296555504367763,0.16294799436512492,0.9001951047205949,0.0015662990776281539,1.7560678552713815e-05,0
530,0.53,1.0,-94.23871994944697,-93.33852371668213,-0.0001498602457252144,-0.0015551739059397741,0.1629655545663348,0.16294799380632508,0.9001962327648414,0.0014053136602145597,1.756076000972162e-05,0
540,0.54,1.0,-94.23869747090677,-93.33850012475813,-0.00012606008344168178,-0.0013864364451657283,0.16296555414779504,0.16294799331371362,0.9001973461486443,0.0012603763617240465,1.7560834081414844e-05,0
550,0.55,1.0,-94.23867777450327,-93.33847934305004,-0.0001060367626173035,-0.0012360074741905311,0.1629655537810381,0.1629479928797153,0.9001984314532336,0.0011299707115732277,1.756090132282173e-05,0
560,0.56,1.0,-94.23866052170138,-93.33846104323845,-8.919145057524956e-05,-0.00110190063964298,0.16296555345977298,0.16294799249750241,0.9001994784629233,0.0010127091890677303,1.756096227056858e-05,0
570,0.5700000000000001,1.0,-94.23864541115519,-93.33844493139188,-7.502016280922438e-05,-0.0009823450237747262,0.1629655531783969,0.162947992160957,0.9002004797633134,0.0009073248609655018,1.7561017439882143e-05,0
580,0.58,1.0,-94.23863217601843,-93.33843074572599,-6.309875940721177e-05,-0.000875761797222937,0.16296555293194553,0.1629479918646256,0.9002014302924408,0.0008126630378157253,1.7561067319926682e-05,0
590,0.59,1.0,-94.23862058102837,-93.33841825411955,-5.3070312176840515e-05,-0.0007807433996124604,0.1629655527160407,0.16294799160366955,0.9002023269088255,0.0007276730874356199,1.7561112371167198e-05,0
600,0.6,1.0,-94.2386104195075,-93.33840725149493,-4.4634467453174964e-05,-0.0006960349734767502,0.1629655525268345,0.1629479913738115,0.9002031680125668,0.0006514005060235752,1.75611530230102e-05,0
610,0.61,1.0,-94.2386015104047,-93.33839755717223,-3.7538489600312636e-05,-0.00062051780758625,0.16296555236095558,0.1629479911712814,0.9002039532324773,0.0005829793179859375,1.756118967419229e-05,0
620,0.62,1.0,-94.2385936954597,-93.3383890122959,-3.1569720168420296e-05,-0.0005531945724484369,0.16296555221545617,0.16294799099276314,0.9002046831637927,0.0005216248522800166,1.7561222693029954e-05,0
630,0.63,1.0,-94.23858683654859,-93.33838147740161,-2.6549229223574268e-05,-0.0004931761547858856,0.16296555208776323,0.16294799083534495,0.9002053591469803,0.00046662692556231135,1.7561252418279993e-05,0
640,0.64,1.0,-94.23858081324643,-93.33837483016441,-2.2326470863820573e-05,-0.00043966991826655644,0.16296555197563334,0.16294799069647203,0.9002059830820173,0.0004173434474027359,1.7561279161304455e-05,0
650,0.65,1.0,-94.23857552062016,-93.33836896335042,-1.8774784319904772e-05,-0.00039196923656353773,0.16296555187711145,0.16294799057390463,0.9002065572697404,0.000373194452243633,1.7561303206820034e-05,0
660,0.66,1.0,-94.2385708672554,-93.33836378297568,-1.578760724572239e-05,-0.00034944416119228063,0.16296555179049446,0.16294799046567926,0.9002070842797281,0.0003336565539465582,1.7561324815201784e-05,0
